"variable_en","unit_en","name_en","description_en","method_en","sampling_period_en","topic_en","variable_fr","unit_fr","name_fr","description_fr","method_fr","sampling_period_fr","topic_fr","source","preferred_hydrological_month","is_date","to_normalise","palette","script_path"
"delta{centerBF}_H2","day","Average change of the center of low flows between the middle horizon and historical period","Date when 50 % of the annual cumulative baseflow is reached","1. annual aggregation [09-01, 08-31] - date when the baseflow (Wallingford) sum corresponds to 50 % of the total sum
2. no temporal aggregation - calculation of the average change between the historical period and the middle horizon","09-01, 08-31","Flow, Baseflow, Seasonality","delta{centreQB}_H2","jour","Changement moyen du centre des écoulements lents entre l'horizon moyen et la période historique","Date à laquelle 50 % du cumul annuel du débit de base sont atteints","1. agrégation annuelle [01-09, 31-08] - date à laquelle la somme du débit de base (Wallingford) correspond à 50 % de la somme totale
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon moyen","01-09, 31-08","Débit, Débit de Base, Saisonnalité","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,TRUE,FALSE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/Baseflow/criteria/delta{centerBF}_H.R"
"delta{centerBF}_H3","day","Average change of the center of low flows between the distant horizon and historical period","Date when 50 % of the annual cumulative baseflow is reached","1. annual aggregation [09-01, 08-31] - date when the baseflow (Wallingford) sum corresponds to 50 % of the total sum
2. no temporal aggregation - calculation of the average change between the historical period and the distant horizon","09-01, 08-31","Flow, Baseflow, Seasonality","delta{centreQB}_H3","jour","Changement moyen du centre des écoulements lents entre l'horizon lointain et la période historique","Date à laquelle 50 % du cumul annuel du débit de base sont atteints","1. agrégation annuelle [01-09, 31-08] - date à laquelle la somme du débit de base (Wallingford) correspond à 50 % de la somme totale
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon lointain","01-09, 31-08","Débit, Débit de Base, Saisonnalité","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,TRUE,FALSE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/Baseflow/criteria/delta{centerBF}_H.R"
"delta{dtBF}_H1","day","Average change of the duration of low flows between the near horizon and historical period","Duration between the start and end of low flows","1. annual aggregation [09-01, 08-31] - number of days between the dates when the baseflow (Wallingford) sum corresponds to 10 % and 90 % of the total sum
2. no temporal aggregation - calculation of the average change between the historical period and the near horizon","09-01, 08-31","Flow, Baseflow, Duration","delta{dtQB}_H1","jour","Changement moyen de la durée des écoulements lents entre l'horizon proche et la période historique","Durée entre le début et la fin des écoulements lents","1. agrégation annuelle [01-09, 31-08] - nombre de jours entre les dates auxquelles la somme du débit de base (Wallingford) correspond à 10 % et 90 % de la somme totale
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon proche","01-09, 31-08","Débit, Débit de Base, Durée","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,FALSE,TRUE,"#003C30 #01665E #35978F #80CDC1 #C7EAE5 #F6E8C3 #DFC27D #BF812D #8C510A #543005","Flow/Baseflow/criteria/delta{dtBF}_H.R"
"delta{dtBF}_H2","day","Average change of the duration of low flows between the middle horizon and historical period","Duration between the start and end of low flows","1. annual aggregation [09-01, 08-31] - number of days between the dates when the baseflow (Wallingford) sum corresponds to 10 % and 90 % of the total sum
2. no temporal aggregation - calculation of the average change between the historical period and the middle horizon","09-01, 08-31","Flow, Baseflow, Duration","delta{dtQB}_H2","jour","Changement moyen de la durée des écoulements lents entre l'horizon moyen et la période historique","Durée entre le début et la fin des écoulements lents","1. agrégation annuelle [01-09, 31-08] - nombre de jours entre les dates auxquelles la somme du débit de base (Wallingford) correspond à 10 % et 90 % de la somme totale
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon moyen","01-09, 31-08","Débit, Débit de Base, Durée","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,FALSE,TRUE,"#003C30 #01665E #35978F #80CDC1 #C7EAE5 #F6E8C3 #DFC27D #BF812D #8C510A #543005","Flow/Baseflow/criteria/delta{dtBF}_H.R"
"delta{dtBF}_H3","day","Average change of the duration of low flows between the distant horizon and historical period","Duration between the start and end of low flows","1. annual aggregation [09-01, 08-31] - number of days between the dates when the baseflow (Wallingford) sum corresponds to 10 % and 90 % of the total sum
2. no temporal aggregation - calculation of the average change between the historical period and the distant horizon","09-01, 08-31","Flow, Baseflow, Duration","delta{dtQB}_H3","jour","Changement moyen de la durée des écoulements lents entre l'horizon lointain et la période historique","Durée entre le début et la fin des écoulements lents","1. agrégation annuelle [01-09, 31-08] - nombre de jours entre les dates auxquelles la somme du débit de base (Wallingford) correspond à 10 % et 90 % de la somme totale
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon lointain","01-09, 31-08","Débit, Débit de Base, Durée","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,FALSE,TRUE,"#003C30 #01665E #35978F #80CDC1 #C7EAE5 #F6E8C3 #DFC27D #BF812D #8C510A #543005","Flow/Baseflow/criteria/delta{dtBF}_H.R"
"delta{endBF}_H1","day","Average change of the end of Base Flow between the near horizon and historical period","Date when 90 % of the annual cumulative base flow is reached","1. annual aggregation [09-01, 08-31] - date when the sum of base flow (Wallingford) Qb corresponds to 90 % of the total sum
2. no temporal aggregation - calculation of the average change between the historical period and the near horizon","09-01, 08-31","Flow, Base Flow, Seasonality","delta{finQB}_H1","jour","Changement moyen de la fin des écoulements lents entre l'horizon proche et la période historique","Date à laquelle 90 % du cumul annuel du débit de base sont atteints","1. agrégation annuelle [01-09, 31-08] - date à laquelle la somme du débit de base (Wallingford) Qb correspond à 90 % de la somme totale
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon proche","01-09, 31-08","Débit, Débit de Base, Saisonnalité","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,TRUE,FALSE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/Baseflow/criteria/delta{endBF}_H.R"
"delta{endBF}_H2","day","Average change of the end of Base Flow between the middle horizon and historical period","Date when 90 % of the annual cumulative base flow is reached","1. annual aggregation [09-01, 08-31] - date when the sum of base flow (Wallingford) Qb corresponds to 90 % of the total sum
2. no temporal aggregation - calculation of the average change between the historical period and the middle horizon","09-01, 08-31","Flow, Base Flow, Seasonality","delta{finQB}_H2","jour","Changement moyen de la fin des écoulements lents entre l'horizon moyen et la période historique","Date à laquelle 90 % du cumul annuel du débit de base sont atteints","1. agrégation annuelle [01-09, 31-08] - date à laquelle la somme du débit de base (Wallingford) Qb correspond à 90 % de la somme totale
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon moyen","01-09, 31-08","Débit, Débit de Base, Saisonnalité","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,TRUE,FALSE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/Baseflow/criteria/delta{endBF}_H.R"
"delta{endBF}_H3","day","Average change of the end of Base Flow between the distant horizon and historical period","Date when 90 % of the annual cumulative base flow is reached","1. annual aggregation [09-01, 08-31] - date when the sum of base flow (Wallingford) Qb corresponds to 90 % of the total sum
2. no temporal aggregation - calculation of the average change between the historical period and the distant horizon","09-01, 08-31","Flow, Base Flow, Seasonality","delta{finQB}_H3","jour","Changement moyen de la fin des écoulements lents entre l'horizon lointain et la période historique","Date à laquelle 90 % du cumul annuel du débit de base sont atteints","1. agrégation annuelle [01-09, 31-08] - date à laquelle la somme du débit de base (Wallingford) Qb correspond à 90 % de la somme totale
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon lointain","01-09, 31-08","Débit, Débit de Base, Saisonnalité","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,TRUE,FALSE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/Baseflow/criteria/delta{endBF}_H.R"
"delta{startBF}_H1","day","Average change of the start of low flows between the near horizon and historical period","Date when 10 % of the annual cumulative baseflow is reached","1. annual aggregation [09-01, 08-31] - date when the baseflow (Wallingford) sum corresponds to 10 % of the total sum
2. no temporal aggregation - calculation of the average change between the historical period and the near horizon","09-01, 08-31","Flow, Baseflow, Seasonality","delta{debutQB}_H1","jour","Changement moyen du début des écoulements lents entre l'horizon proche et la période historique","Date à laquelle 10 % du cumul annuel du débit de base sont atteints","1. agrégation annuelle [01-09, 31-08] - date à laquelle la somme du débit de base (Wallingford) correspond à 10 % de la somme totale
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon proche","01-09, 31-08","Débit, Débit de Base, Saisonnalité","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,TRUE,FALSE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/Baseflow/criteria/delta{startBF}_H.R"
"delta{startBF}_H2","day","Average change of the start of low flows between the middle horizon and historical period","Date when 10 % of the annual cumulative baseflow is reached","1. annual aggregation [09-01, 08-31] - date when the baseflow (Wallingford) sum corresponds to 10 % of the total sum
2. no temporal aggregation - calculation of the average change between the historical period and the middle horizon","09-01, 08-31","Flow, Baseflow, Seasonality","delta{debutQB}_H2","jour","Changement moyen du début des écoulements lents entre l'horizon moyen et la période historique","Date à laquelle 10 % du cumul annuel du débit de base sont atteints","1. agrégation annuelle [01-09, 31-08] - date à laquelle la somme du débit de base (Wallingford) correspond à 10 % de la somme totale
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon moyen","01-09, 31-08","Débit, Débit de Base, Saisonnalité","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,TRUE,FALSE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/Baseflow/criteria/delta{startBF}_H.R"
"delta{startBF}_H3","day","Average change of the start of low flows between the distant horizon and historical period","Date when 10 % of the annual cumulative baseflow is reached","1. annual aggregation [09-01, 08-31] - date when the baseflow (Wallingford) sum corresponds to 10 % of the total sum
2. no temporal aggregation - calculation of the average change between the historical period and the distant horizon","09-01, 08-31","Flow, Baseflow, Seasonality","delta{debutQB}_H3","jour","Changement moyen du début des écoulements lents entre l'horizon lointain et la période historique","Date à laquelle 10 % du cumul annuel du débit de base sont atteints","1. agrégation annuelle [01-09, 31-08] - date à laquelle la somme du débit de base (Wallingford) correspond à 10 % de la somme totale
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon lointain","01-09, 31-08","Débit, Débit de Base, Saisonnalité","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,TRUE,FALSE,"#60265e #893687 #c05fbe #dba3da #edd1ec #f6ddd3 #edbaa7 #e08765 #CD5629 #8f3c1d","Flow/Baseflow/criteria/delta{startBF}_H.R"
"delta{vBF}_H1","%","Average change of annual volume generated by the baseflow between the near horizon and historical period","","1. annual aggregation [09-01, 08-31] - sum of volumes discharged each day for base flow (Wallingford)
2. no temporal aggregation - calculation of the average change between the historical period and the near horizon","09-01, 08-31","Flow, Baseflow, Intensity","delta{vQB}_H1","%","Changement moyen du volume annuel généré par le débit de base entre l'horizon proche et la période historique","","1. agrégation annuelle [01-09, 31-08] - somme des volumes écoulés chaque jour pour le débit de base (Wallingford)
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon proche","01-09, 31-08","Débit, Débit de Base, Intensité","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,FALSE,TRUE,"#003C30 #01665E #35978F #80CDC1 #C7EAE5 #F6E8C3 #DFC27D #BF812D #8C510A #543005","Flow/Baseflow/criteria/delta{vBF}_H.R"
"delta{vBF}_H2","%","Average change of annual volume generated by the baseflow between the middle horizon and historical period","","1. annual aggregation [09-01, 08-31] - sum of volumes discharged each day for base flow (Wallingford)
2. no temporal aggregation - calculation of the average change between the historical period and the middle horizon","09-01, 08-31","Flow, Baseflow, Intensity","delta{vQB}_H2","%","Changement moyen du volume annuel généré par le débit de base entre l'horizon moyen et la période historique","","1. agrégation annuelle [01-09, 31-08] - somme des volumes écoulés chaque jour pour le débit de base (Wallingford)
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon moyen","01-09, 31-08","Débit, Débit de Base, Intensité","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,FALSE,TRUE,"#003C30 #01665E #35978F #80CDC1 #C7EAE5 #F6E8C3 #DFC27D #BF812D #8C510A #543005","Flow/Baseflow/criteria/delta{vBF}_H.R"
"delta{vBF}_H3","%","Average change of annual volume generated by the baseflow between the distant horizon and historical period","","1. annual aggregation [09-01, 08-31] - sum of volumes discharged each day for base flow (Wallingford)
2. no temporal aggregation - calculation of the average change between the historical period and the distant horizon","09-01, 08-31","Flow, Baseflow, Intensity","delta{vQB}_H3","%","Changement moyen du volume annuel généré par le débit de base entre l'horizon lointain et la période historique","","1. agrégation annuelle [01-09, 31-08] - somme des volumes écoulés chaque jour pour le débit de base (Wallingford)
2. aucune agrégation temporelle - calcul du changement moyen entre la période historique et l'horizon lointain","01-09, 31-08","Débit, Débit de Base, Intensité","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,FALSE,TRUE,"#003C30 #01665E #35978F #80CDC1 #C7EAE5 #F6E8C3 #DFC27D #BF812D #8C510A #543005","Flow/Baseflow/criteria/delta{vBF}_H.R"
"med{centerBF}","yearday","Median center of baseflow","Median of the dates at which 50 % of the annual cumulative baseflow is reached","1. annual aggregation [09-01, 08-31] - date at which the baseflow (Wallingford) sum Qb (Section 8.6.2) corresponds to 50 % of the total sum
2. no temporal aggregation - median","09-01, 08-31","Flow, Baseflow, Seasonality","med{centreQB}","jour de l'année","Médiane du centre des écoulements lents","Médiane des dates à laquelle 50 % du cumul annuel du débit de base sont atteints","1. agrégation annuelle [01-09, 31-08] - date à laquelle la somme du débit de base (Wallingford) Qb (Section 8.6.2) correspond à 50 % de la somme totale
2. aucune agrégation temporelle - médiane","01-09, 31-08","Débit, Débit de Base, Saisonnalité","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,TRUE,FALSE,NA,"Flow/Baseflow/criteria/med{centerBF}.R"
"med{dtBF}","day","Median duration of baseflow","Median of the durations between the start and end of baseflow","1. annual aggregation [09-01, 08-31] - number of days between the dates at which the baseflow (Wallingford) sum corresponds to 10 % and 90 % of the total baseflow sum
2. no temporal aggregation - median","09-01, 08-31","Flow, Baseflow, Duration","med{dtQB}","jour","Médiane de la durée des écoulements lents","Médiane des durées entre le début et la fin des écoulements lents","1. agrégation annuelle [01-09, 31-08] - nombre de jours entre les dates auxquelles la somme du débit de base (Wallingford) correspond à 10 % et 90 % de la somme totale du débit de base
2. aucune agrégation temporelle - médiane","01-09, 31-08","Débit, Débit de Base, Durée","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,FALSE,TRUE,NA,"Flow/Baseflow/criteria/med{dtBF}.R"
"med{dtRec}","day","Median of recession times","","",NA,"Flow, Baseflow, Duration","med{dtRec}","jour","Médiane des temps de récession","","",NA,"Débit, Débit de Base, Durée",NA,9,FALSE,TRUE,NA,"Flow/Baseflow/criteria/med{dtRec}.R"
"med{endBF}","yearday","Median of the end of base flows","Median of the dates when 90 % of the annual cumulative base flow is reached","1. annual aggregation [09-01, 08-31] - date when the sum of base flow (Wallingford) Qb (Section 8.6.2) corresponds to 90 % of the total sum
2. no temporal aggregation - median","09-01, 08-31","Flow, Baseflow, Seasonality","med{finQB}","jour de l'année","Médiane de la fin des écoulements lents","Médiane des dates à laquelle 90 % du cumul annuel du débit de base sont atteints","1. agrégation annuelle [01-09, 31-08] - date à laquelle la somme du débit de base (Wallingford) Qb (Section 8.6.2) correspond à 90 % de la somme totale
2. aucune agrégation temporelle - médiane","01-09, 31-08","Débit, Débit de Base, Saisonnalité","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,TRUE,FALSE,NA,"Flow/Baseflow/criteria/med{endBF}.R"
"med{startBF}","yearday","Median start of baseflow","Median of the dates at which 10 % of the annual cumulative baseflow is reached","1. annual aggregation [09-01, 08-31] - date at which the baseflow (Wallingford) sum corresponds to 10 % of the total sum
2. no temporal aggregation - median","09-01, 08-31","Flow, Baseflow, Seasonality","med{debutQB}","jour de l'année","Médiane du début des écoulements lents","Médiane des dates à laquelle 10 % du cumul annuel du débit de base sont atteints","1. agrégation annuelle [01-09, 31-08] - date à laquelle la somme du débit de base (Wallingford) correspond à 10 % de la somme totale
2. aucune agrégation temporelle - médiane","01-09, 31-08","Débit, Débit de Base, Saisonnalité","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,TRUE,FALSE,NA,"Flow/Baseflow/criteria/med{startBF}.R"
"med{vBF}","hm^{3}","Median of the annual volume generated by base flow","","1. annual aggregation [09-01, 08-31] - sum of volumes discharged each day for base flow (Wallingford)
2. no temporal aggregation - median","09-01, 08-31","Flow, Baseflow, Intensity","med{vQB}","hm^{3}","Médiane du volume annuel généré par les écoulements lents","","1. agrégation annuelle [01-09, 31-08] - somme des volumes écoulés chaque jour pour le débit de base (Wallingford)
2. aucune agrégation temporelle - moyenne","01-09, 31-08","Débit, Débit de Base, Intensité","TALLAKSEN, L. et H. VAN LANEN, éd. (2004). Hydrological drought. Processes and estimation methods for streamflow and groundwater. English. Developments in water science 48. Netherlands : Elsevier. ISBN : 9780444516886.",9,FALSE,TRUE,NA,"Flow/Baseflow/criteria/med{vBF}.R"
